serie,ADF stat,ADF p,lags,KPSS p,ADF p (1ª dif),orden,concordancia ADF/KPSS
Ener_1,-1.8668910874409326,0.3477932313370542,26,0.08421541960348201,2.0411620518839015e-05,I(1),no
Ener_2,-1.4791345922855952,0.5438067534438132,14,0.09003935107533587,2.543239158519683e-30,I(1),no
Ener_3,-1.9284412491076282,0.31880198164292617,26,0.08856468609303558,1.599007761457267e-05,I(1),no
Ener_4,-13258888046.112103,0.0,12,0.1,0.0,I(0),sí
Ener_5,-0.3477076508920684,0.9184704540337372,0,0.01,0.0,I(1),sí
Ener_6,0.9526991309241625,0.9937409285971264,0,0.01,0.0,I(1),sí
Ener_7,-0.42444506290136225,0.9059366267722746,26,0.01,2.345220413335295e-27,I(1),sí
Ener_8,-46.0363430809683,0.0,0,0.1,2.1249528414810187e-27,I(0),sí
Ener_9,-45.358192668949954,0.0,0,0.1,2.290715458850064e-28,I(0),sí
Ener_10,-43.71510671599412,0.0,0,0.1,6.611042210932674e-30,I(0),sí
